iter	Logloss
0	0.6924670423
1	0.691484257
2	0.690681416
3	0.6897012307
4	0.6888283496
5	0.6884497647
6	0.687802194
7	0.6872453502
8	0.6863594267
9	0.6856569968
10	0.6849188936
11	0.6842116527
12	0.6835331722
13	0.6828946685
14	0.6824101756
15	0.6817959547
16	0.6810872798
17	0.6806128272
18	0.6801866497
19	0.6796249414
20	0.6792252027
21	0.6784936907
22	0.6779779297
23	0.6773781944
24	0.677091849
25	0.6765614143
26	0.6761958123
27	0.6759322411
28	0.6753419098
29	0.6750077301
30	0.6745253272
31	0.6741713553
32	0.6738583881
33	0.6735573681
34	0.6732111955
35	0.6728854865
36	0.6726087619
37	0.672318475
38	0.6719914354
39	0.6716608188
40	0.671208076
41	0.67087461
42	0.6704794743
43	0.6701594096
44	0.6697848938
45	0.6694987091
46	0.669195857
47	0.6688233428
48	0.6684886502
49	0.6682343307
50	0.6679526179
51	0.6673346816
52	0.6669372668
53	0.666422165
54	0.6660679295
55	0.6658200247
56	0.6655155892
57	0.6651152693
58	0.6647541573
59	0.6643829669
60	0.6640965723
61	0.6638388922
62	0.6633532965
63	0.6631726458
64	0.6626799056
65	0.6622332118
66	0.6619679299
67	0.6617336802
68	0.6612971982
69	0.6609857354
70	0.6606126792
71	0.6604174035
72	0.6601051364
73	0.6598344017
74	0.6596916
75	0.6595427753
76	0.65932545
77	0.6590878917
78	0.6588027837
79	0.6584942668
80	0.6582520996
81	0.6578671877
82	0.6574426264
83	0.6572819281
84	0.6570844242
85	0.6568278244
86	0.6565640344
87	0.6563371729
88	0.656192702
89	0.6560021617
90	0.6557165198
91	0.6554592658
92	0.6552200849
93	0.6550559643
94	0.6549026228
95	0.6545631729
96	0.654300314
97	0.6539512964
98	0.6538127446
99	0.6536144089
100	0.653257716
101	0.6530541973
102	0.6529306029
103	0.6526323855
104	0.6525129957
105	0.6523039128
106	0.6520778011
107	0.6518959336
108	0.6516714519
109	0.651526519
110	0.6513069074
111	0.651217032
112	0.6510553799
113	0.6507876921
114	0.6506232331
115	0.650364859
116	0.6500589953
117	0.6500211906
118	0.649929107
119	0.6498439187
120	0.6496618776
121	0.6495167499
122	0.6493474286
123	0.6492495773
124	0.648993447
125	0.6489634537
126	0.6487020921
127	0.648542485
128	0.648181204
129	0.6480155231
130	0.6477186502
131	0.6474978802
132	0.6473070692
133	0.6470889929
134	0.6469085535
135	0.6466576243
136	0.6464561906
137	0.6462075898
138	0.6461263052
139	0.6459230278
140	0.6458464676
141	0.6456385603
142	0.6455551796
143	0.6453676104
144	0.6452246582
145	0.6451829686
146	0.6449374184
147	0.6447431038
148	0.6446698917
149	0.6445155268
150	0.6443472758
151	0.6441657915
152	0.6439581413
153	0.643727099
154	0.6435633364
155	0.6434868954
156	0.6433325889
157	0.6432167714
158	0.6430870242
159	0.6430459455
160	0.6428785826
161	0.6427390661
162	0.6425769621
163	0.6423975086
164	0.6422157658
165	0.6420707355
166	0.6419967142
167	0.641932632
168	0.6417870408
169	0.64170143
170	0.6415833747
171	0.6415653989
172	0.6413309931
173	0.6411572077
174	0.6410284723
175	0.6409727259
176	0.6408050777
177	0.6406122781
178	0.6405532116
179	0.6404732014
180	0.6403462997
181	0.6401827293
182	0.6401765287
183	0.6400371407
184	0.6399438561
185	0.6398629944
186	0.6398468547
187	0.6397461587
188	0.6395548997
189	0.6393646265
190	0.6392097918
191	0.6391005333
192	0.6390021754
193	0.638951413
194	0.6389050775
195	0.6388990887
196	0.638823673
197	0.6387093732
198	0.6386011994
199	0.6385882164
200	0.6384242104
201	0.638394329
202	0.6382961505
203	0.6381476659
204	0.6381439254
205	0.6380633888
206	0.6380142787
207	0.6379028059
208	0.6378501578
209	0.6378083868
210	0.6377257399
211	0.6375889089
212	0.6375088748
213	0.637330272
214	0.6373050047
215	0.6371964767
216	0.6370940745
217	0.6370551702
218	0.6370449728
219	0.6370059766
220	0.6368795565
221	0.6367162951
222	0.6366300438
223	0.6365463445
224	0.6364990367
225	0.6364659075
226	0.6363625463
227	0.6363538377
228	0.6362421078
229	0.636201262
230	0.6360579696
231	0.6359601738
232	0.6359556077
233	0.6358446672
234	0.6356503482
235	0.635527201
236	0.6354289488
237	0.6352520642
238	0.6351706912
239	0.6350491013
240	0.6348983088
241	0.6347789745
242	0.634709292
243	0.6345973233
244	0.6345249089
245	0.6345162993
246	0.6344384991
247	0.6343253853
248	0.6343176298
249	0.6342110005
250	0.6341960718
251	0.6341560091
252	0.6341337266
253	0.6339373362
254	0.6338344347
255	0.6338233961
256	0.6337006938
257	0.6335559964
258	0.6333935991
259	0.6333183055
260	0.633286279
261	0.6332012739
262	0.6331537999
263	0.6330877773
264	0.6330598853
265	0.6330451497
266	0.6329837389
267	0.6329494638
268	0.6328051284
269	0.6327638013
270	0.6327475624
271	0.6326089998
272	0.6325806082
273	0.6325766111
274	0.6325081462
275	0.6324694493
276	0.6324116299
277	0.6323532155
278	0.6323444215
279	0.6323171927
280	0.6323103925
281	0.6321847447
282	0.6321177531
283	0.6321117107
284	0.6320992032
285	0.6320059379
286	0.6319679317
287	0.6317940583
288	0.6317351345
289	0.631734057
290	0.6316231011
291	0.6315394032
292	0.6315080571
293	0.6313843257
294	0.631364887
295	0.6311927022
296	0.6310647206
297	0.6310265711
298	0.6309150324
299	0.630815012
300	0.6307919605
301	0.6306755083
302	0.6306533634
303	0.6305445283
304	0.6305215798
305	0.6304581862
306	0.6303614473
307	0.6303397642
308	0.6302852713
309	0.6302176157
310	0.6301177777
311	0.6301046236
312	0.630005391
313	0.6300003785
314	0.6298730775
315	0.6298703952
316	0.6298546021
